id,ico,nazov,ulica,psc,obec_id,obec_nazov,obec_kod,okres,kraj,lat,lon,presnost_polohy,typ_prevadzky,typ_nazov,sektor,zdroj_id
228,31118682,Centrum sociálnych služieb - DOMOV JAVORINA,,,60,Bzince pod Javorinou,SK0224505897,Nové Mesto nad Váhom,Trenčiansky,48.786735,17.771587,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
229,31193897,OAZIS - Zariadenie sociálnych služieb,,,80,Komárno,SK0231501026,Komárno,Nitriansky,47.757388,18.129917,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
230,31305288,Evanjelické gymnázium Jana Amosa Komenského,,,106,Košice,SK0422598186,Košice I,Košický,48.717227,21.249677,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
231,31321828,"TESCO STORES SR, a.s.",,,39,Bratislava - mestská časť Ružinov,SK0102529320,Bratislava II,Bratislavský,48.149645,17.164279,mestska_cast,retail_retazec,Obchodný reťazec,Retail a distribúcia potravín,1
232,31347037,BILLA s.r.o.,,,39,Bratislava - mestská časť Ružinov,SK0102529320,Bratislava II,Bratislavský,48.149645,17.164279,mestska_cast,retail_retazec,Obchodný reťazec,Retail a distribúcia potravín,1
233,31386563,Univerzitná nemocnica AGEL Milosrdní bratia s. r. o.,,,125,Bratislava,,Bratislava I,Bratislavský,48.153538,17.109671,obec,nemocnica,Nemocnica,Gastro a stravovacie zariadenia,1
234,31408265,"PEKÁREŇ UNO, spol. s r.o.",,95117,156,Cabaj - Čápor,,Nitra,Nitriansky,48.245665,18.023092,obec,pekaren,Pekáreň,Potravinárstvo a nápoje,1
235,31410146,"Priemyselný park Štúrovo, a. s.",Továrenská 1,94303,157,Štúrovo,SK0234503584,Nové Zámky,Nitriansky,47.797831,18.71486,obec,papierne,Papiereň a celulózka,"Drevo, lesníctvo a ostatné",1
236,31412271,LEVICKÉ MLIEKÁRNE a.s.,Júrska cesta č. 2,93401,103,Levice,SK0232502031,Levice,Nitriansky,48.216667,18.6,obec,mliekaren,Mliekáreň,Potravinárstvo a nápoje,1
237,31412408,Topoľčianske pekárne a cukrárne a.s. skrátený názov TOPEC a.s.,Krušovská 1994,95501,26,Topoľčany,SK0236504998,Topoľčany,Nitriansky,48.559116,18.176052,obec,pekaren,Pekáreň,Potravinárstvo a nápoje,1
238,31412459,"Mlyn Pohronský Ruskov, a.s.",Hlavná 76,93562,158,Pohronský Ruskov,SK0232502677,Levice,Nitriansky,47.983333,18.666667,obec,mlyn,Mlyn,Potravinárstvo a nápoje,1
239,31414958,ABC HOTEL s.r.o.,,,23,Nitra,SK0233500011,Nitra,Nitriansky,48.31257,18.09061,obec,hotel,Hotel,Gastro a stravovacie zariadenia,1
240,31424384,AGROVAŽAN s.r.o.,Športova 29,94301,157,Štúrovo,SK0234503584,Nové Zámky,Nitriansky,47.797831,18.71486,obec,agro,Poľnohospodársky podnik,Poľnohospodárstvo a chov,1
241,31424945,MLYN - verejná obchodná spoločnosť,NA 624,94142,159,Veľké Lovce,SK0234503631,Nové Zámky,Nitriansky,48.066661,18.333335,obec,mlyn,Mlyn,Potravinárstvo a nápoje,1
242,31425399,Píla Podlužany spol. s r.o.,NA 358,95652,53,Podlužany,SK0221505358,Bánovce nad Bebravou,Trenčiansky,48.770966,18.239113,obec,pila,Píla a drevospracovanie,"Drevo, lesníctvo a ostatné",1
243,31429254,"Ed. Haas SK, s.r.o.",Staničná 20,90851,160,Holíč,SK0216504378,Skalica,Trnavský,48.8,17.166667,obec,cukrovinky,Výroba cukroviniek,Potravinárstvo a nápoje,1
244,31431631,Poľnohospodárske družstvo Kálnica,Kálnica 722,91637,161,Kálnica,SK0224506109,Nové Mesto nad Váhom,Trenčiansky,48.764557,17.927848,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
245,31434118,HYDINÁRI s.r.o.,Jarocká 397/15,95135,40,Veľké Zálužie,SK0233500887,Nitra,Nitriansky,48.308171,17.940569,obec,hydina,Hydinárska prevádzka,Poľnohospodárstvo a chov,1
246,31435432,Pekáreň VIESKATRANS spol. s r.o.,,94341,162,Nová Vieska,SK0234503436,Nové Zámky,Nitriansky,47.869087,18.461012,obec,pekaren,Pekáreň,Potravinárstvo a nápoje,1
247,31436641,"PD Veľká Hradná, a.s.",Veľká Hradná 145,91324,163,Veľká Hradná,SK0229506648,Trenčín,Trenčiansky,48.768904,18.142173,obec,polnohospodarske_druzstvo,Poľnohospodárske družstvo,Poľnohospodárstvo a chov,1
248,31438881,"HYDINA SÚLOVCE, s.r.o.",,,164,Súlovce,SK0236505510,Topoľčany,Nitriansky,48.466667,18.166667,obec,hydina,Hydinárska prevádzka,Poľnohospodárstvo a chov,1
249,31448291,"Pivovar Diakovce, spol. s r.o.",Železničiarska 593,09431,165,Hanušovce nad Topľou,SK041D544213,Vranov nad Topľou,Prešovský,49.033333,21.5,obec,pivovar,Pivovar / minipivovar,Potravinárstvo a nápoje,1
250,31559107,Liptovské pekárne a cukrárne VČELA - Lippek s.r.o.,1. mája 1919,03101,30,Liptovský Mikuláš,SK0315510262,Liptovský Mikuláš,Žilinský,49.083333,19.616667,obec,pekaren,Pekáreň,Potravinárstvo a nápoje,1
251,31561802,"DOBROTA, a.s.",Košovská cesta 12,97101,31,Prievidza,SK0227513881,Prievidza,Trenčiansky,48.77104,18.623306,obec,pekaren,Pekáreň,Potravinárstvo a nápoje,1
252,31562116,"DS Smith Turpak Obaly, a.s.",Robotnícka 1,03680,119,Martin,SK0316512036,Martin,Žilinský,49.07226,18.929174,obec,papierne,Papiereň a celulózka,"Drevo, lesníctvo a ostatné",1
253,31563490,"Ryba Žilina, spol. s r.o.",P.O.Hviezdoslava 8194/85,01001,34,Žilina,SK031B517402,Žilina,Žilinský,49.223464,18.739498,obec,rybarstvo,Rybárstvo a akvakultúra,"Drevo, lesníctvo a ostatné",1
254,31568386,"SLOVENSKÉ CUKROVARY, s.r.o.",Cukrovarská 726,92601,166,Sereď,SK0212504009,Galanta,Trnavský,48.288903,17.730881,obec,cukrovar,Cukrovar,Potravinárstvo a nápoje,1
255,31574912,"AGROFARMA, spol. s r.o. Červený Kameň",Červený Kameň 324,01856,167,Červený Kameň,SK0222512931,Ilava,Trenčiansky,49.083333,18.183333,obec,farma,Živočíšna farma,Poľnohospodárstvo a chov,1
256,31577156,"Slovryb, a.s.",Lepenkáreň 7415/2,03403,10,Ružomberok,SK0316512818,Ružomberok,Žilinský,49.08187,19.302965,obec,rybarstvo,Rybárstvo a akvakultúra,"Drevo, lesníctvo a ostatné",1
257,31579183,Technické služby mesta Prievidza s.r.o.,Mariánska ulica 17,97101,31,Prievidza,SK0227513881,Prievidza,Trenčiansky,48.77104,18.623306,obec,technicke_sluzby,Technické služby mesta / obce,Komunálny a gastro bioodpad,1
258,31588182,Mestské lesy Nová Baňa s. r. o.,Bernolákova 36/11,96801,168,Nová Baňa,SK032C517097,Žarnovica,Banskobystrický,48.41225,18.644609,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
259,31592015,HOTEL ZOBOR s.r.o.,,,23,Nitra,SK0233500011,Nitra,Nitriansky,48.31257,18.09061,obec,hotel,Hotel,Gastro a stravovacie zariadenia,1
260,31595740,"AGROSTRÁŽOV, spol. s r.o.",NA 52,01832,169,Zliechov,SK0222513865,Ilava,Trenčiansky,48.95,18.433333,obec,agro,Poľnohospodársky podnik,Poľnohospodárstvo a chov,1
261,31598498,Mäsoprodukt spol. s r.o.,,91101,27,Trenčín,SK0229505820,Trenčín,Trenčiansky,48.892358,18.039372,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
262,31598528,"MALENICA, s.r.o.",NA 59,01822,170,Pružina,SK0226513601,Považská Bystrica,Trenčiansky,49.016667,18.483333,obec,pila,Píla a drevospracovanie,"Drevo, lesníctvo a ostatné",1
263,31600182,"Mestské lesy Kremnica, s.r.o.",Zechenterova 347/2,96701,171,Kremnica,SK032D516970,Žiar nad Hronom,Banskobystrický,48.7,18.916667,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
264,31603271,"Mestské lesy, spol. s r.o. Ružomberok",J. Jančeka 34,03401,10,Ružomberok,SK0318510998,Ružomberok,Žilinský,49.08187,19.302965,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
265,31605397,"Obecná píla Ľubietová, spol. s r.o.",Zábava 442/44,97655,172,Ľubietová,SK0321508748,Banská Bystrica,Banskobystrický,48.748315,19.358256,obec,pila,Píla a drevospracovanie,"Drevo, lesníctvo a ostatné",1
266,31609911,"Technické služby, s.r.o. Dolný Kubín",Nábrežie Oravy 627/1,02601,135,Dolný Kubín,SK0313509540,Dolný Kubín,Žilinský,49.218073,19.29539,obec,technicke_sluzby,Technické služby mesta / obce,Komunálny a gastro bioodpad,1
267,31611907,"DOBROTA Orava, s.r.o.",Matúškova 1637/15,02601,135,Dolný Kubín,SK0313509540,Dolný Kubín,Žilinský,49.218073,19.29539,obec,pekaren,Pekáreň,Potravinárstvo a nápoje,1
268,31613314,"Mestské lesy Považská Bystrica, s.r.o.",Považské Podhradie 333,01704,112,Považská Bystrica,SK0226512842,Považská Bystrica,Trenčiansky,49.114507,18.447319,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
269,31616798,"Mestské lesy, s.r.o. Krupina",Priemyselná 969/14,96301,32,Krupina,SK0325518557,Krupina,Banskobystrický,48.352728,19.069182,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
270,31619002,"HYDINÁREŇ ZÁMOSTIE, s.r.o.",Zámostie,97663,173,Predajná,SK0323508934,Brezno,Banskobystrický,48.813419,19.462852,obec,hydina,Hydinárska prevádzka,Poľnohospodárstvo a chov,1
271,31628842,"FARMA Zliechov, spol. s r.o.",Zliechov 331,01832,169,Zliechov,SK0222513865,Ilava,Trenčiansky,48.95,18.433333,obec,farma,Živočíšna farma,Poľnohospodárstvo a chov,1
272,31629857,Zvolenská mliekareň s.r.o.,T. G. Masaryka 8580,96001,11,Zvolen,SK032B518158,Zvolen,Banskobystrický,48.576512,19.128476,obec,mliekaren,Mliekáreň,Potravinárstvo a nápoje,1
273,31634184,Hotel Podjavorník s.r.o.,,,174,Bratislava - mestská časť Staré Mesto,SK0101528595,Bratislava I,Bratislavský,48.140553,17.112478,mestska_cast,hotel,Hotel,Gastro a stravovacie zariadenia,1
274,31637051,"Mondi SCP, a.s.",Tatranská cesta 3,03417,10,Ružomberok,SK0318510998,Ružomberok,Žilinský,49.08187,19.302965,obec,papierne,Papiereň a celulózka,"Drevo, lesníctvo a ostatné",1
275,31638767,Mestské lesy Tisovec s.r.o.,Hviezdoslavova 1143,98061,175,Tisovec,SK0329515680,Rimavská Sobota,Banskobystrický,48.681,19.942023,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
276,31638775,"Mestské lesy Banská Štiavnica, spol. s r.o.",Šobov 1401/1,96901,8,Banská Štiavnica,SK0322516643,Banská Štiavnica,Banskobystrický,48.458093,18.89828,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
277,31639216,"Výskumný ústav ovocných a okrasných drevín a.s. (VÚOOD, a.s.)",Prievidzská 1457/73,97201,176,Bojnice,SK0227513903,Prievidza,Trenčiansky,48.78,18.581862,obec,ovocne_sady,Ovocné sady a spracovanie ovocia,Poľnohospodárstvo a chov,1
278,31640265,"Kysucké pekárne, a.s.",A. Hlinku 2541,02201,29,Čadca,SK0312509132,Čadca,Žilinský,49.440819,18.788221,obec,pekaren,Pekáreň,Potravinárstvo a nápoje,1
279,31642365,Mestské lesy Banská Bystrica s.r.o.,Dolný Harmanec 51,97603,177,Dolný Harmanec,SK0321508551,Banská Bystrica,Banskobystrický,48.815627,19.050931,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
280,31644571,"FARMA JANEK, spol. s r.o.",,01861,178,Beluša,SK0228512851,Púchov,Trenčiansky,49.066667,18.333333,obec,farma,Živočíšna farma,Poľnohospodárstvo a chov,1
281,31648479,"Plzeňský Prazdroj Slovensko, a.s.",Pivovarská 9,08221,179,Veľký Šariš,SK0417525405,Prešov,Prešovský,49.05,21.2,obec,pivovar,Pivovar / minipivovar,Potravinárstvo a nápoje,1
282,31651321,SYRÁREŇ BEL SLOVENSKO a.s.,Lastomírska 1,07101,36,Michalovce,SK0427522279,Michalovce,Košický,48.75,21.933333,obec,syraren,Syráreň a bryndziareň,Potravinárstvo a nápoje,1
283,31654363,Tatranská mliekareň a.s.,Nad traťou 26,06001,2,Kežmarok,SK0413523585,Kežmarok,Prešovský,49.136318,20.430447,obec,mliekaren,Mliekáreň,Potravinárstvo a nápoje,1
284,31669794,"MÄSOPRODUKT, a.s., Prešov",Bardejovská 44,08006,14,Prešov,SK0417524140,Prešov,Prešovský,49.000411,21.252273,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
285,31672981,Mestské lesy Košice a.s.,Južná trieda 11,04001,106,Košice,SK0428522622,Košice I,Košický,48.717227,21.249677,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
286,31673449,"Mestské lesy, Revúca spol. s r.o.",Šafáriková 1,05001,37,Revúca,SK0328526142,Revúca,Banskobystrický,48.683333,20.116667,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
287,31677258,"PEKÁREŇ GROS, spol. s r.o.",Kamenná baňa 1309,06001,2,Kežmarok,SK0413523585,Kežmarok,Prešovský,49.136318,20.430447,obec,pekaren,Pekáreň,Potravinárstvo a nápoje,1
288,31683410,"Mestské lesy Dobšiná, spol. s r.o.",Turecká 54/51,04925,180,Dobšiná,SK0428525634,Rožňava,Košický,48.821028,20.364743,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
289,31683843,"PILA TERA, spol. s r.o.",Hámorská 399/11,06901,181,Snina,SK0419520802,Snina,Prešovský,48.990062,22.155625,obec,pila,Píla a drevospracovanie,"Drevo, lesníctvo a ostatné",1
290,31686541,"Mestské lesy Jelšava, s.r.o.",Námestie republiky 500,04916,136,Jelšava,SK0328525791,Revúca,Banskobystrický,48.627976,20.24008,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
291,31704735,"TECHNICKÉ SLUŽBY, spol. s r.o. Lipany",Krivianska 3,08271,3,Lipany,SK0418524778,Sabinov,Prešovský,49.15,20.966667,obec,technicke_sluzby,Technické služby mesta / obce,Komunálny a gastro bioodpad,1
292,31713891,Agropotravinárske družstvo Malčice,,07206,182,Malčice,SK0427522759,Michalovce,Košický,48.577134,21.854297,obec,vinarstvo,Vinárstvo,Potravinárstvo a nápoje,1
293,31737200,"COOP Jednota Vranov nad Topľou, spotrebné družstvo",,,16,Vranov nad Topľou,SK041D544051,Vranov nad Topľou,Prešovský,48.890524,21.680564,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
294,31745041,"Základná škola, Podzáhradná 51, Bratislava",,,152,Bratislava - mestská časť Podunajské Biskupice,SK0102529311,Bratislava II,Bratislavský,48.130042,17.207422,mestska_cast,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
295,31748198,"Základná škola s materskou školou s VJM, Vetvárska 7, Bratislava",,,152,Bratislava - mestská časť Podunajské Biskupice,SK0102529311,Bratislava II,Bratislavský,48.130042,17.207422,mestska_cast,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
296,31748201,"Základná škola, Biskupická 21, Bratislava",,,152,Bratislava - mestská časť Podunajské Biskupice,SK0102529311,Bratislava II,Bratislavský,48.130042,17.207422,mestska_cast,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
297,31754929,"Základná škola, Černyševského 8, Bratislava",,,183,Bratislava - mestská časť Petržalka,SK0105529460,Bratislava V,Bratislavský,48.111346,17.110791,mestska_cast,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
298,31770398,Centrum sociálnych služieb Pod Karpatmi,,,184,Pezinok,SK0107508179,Pezinok,Bratislavský,48.285586,17.27028,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
299,31780741,"Základná škola, Bieloruská 1, Bratislava",,,152,Bratislava - mestská časť Podunajské Biskupice,SK0102529311,Bratislava II,Bratislavský,48.130042,17.207422,mestska_cast,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
300,31787045,"Materská škola, Estónska 5207/3, Bratislava",,,152,Bratislava - mestská časť Podunajské Biskupice,SK0102529311,Bratislava II,Bratislavský,48.130042,17.207422,mestska_cast,skola_materska,Materská škola,Gastro a stravovacie zariadenia,1
301,31810268,"Základná škola s materskou školou, Kuchyňa 551",,,185,Kuchyňa,SK0106508021,Malacky,Bratislavský,48.405751,17.15852,obec,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
302,31810276,"Základná škola, Plavecký Štvrtok 351",,,186,Plavecký Štvrtok,SK0106508195,Malacky,Bratislavský,48.374094,17.005391,obec,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
303,31810292,"Základná škola, Školská ulica 7/19, Sološnica",,,187,Sološnica,SK0106504858,Malacky,Bratislavský,48.465196,17.231969,obec,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
304,31810543,"Základná škola s materskou školou, Budmerice 430",,,188,Budmerice,SK0107507849,Pezinok,Bratislavský,48.360397,17.405103,obec,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
305,31811523,"Materská škola, Hlavná 88, Gajary",,,189,Gajary,SK0106507890,Malacky,Bratislavský,48.468407,16.922298,obec,skola_materska,Materská škola,Gastro a stravovacie zariadenia,1
306,31816924,"Základná škola s materskou školou, Studienka 222",,,190,Studienka,SK0106504874,Malacky,Bratislavský,48.528061,17.136328,obec,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
307,31817025,"Základná škola s materskou školou, Vištuk 44",,,191,Vištuk,SK0107508322,Pezinok,Bratislavský,48.334375,17.397091,obec,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
308,31817033,"Školská jedáleň, Školská 257, Dunajská Lužná",,,192,Dunajská Lužná,SK0108545333,Senec,Bratislavský,48.082194,17.263614,obec,skolska_jedalen,Školská jedáleň,Gastro a stravovacie zariadenia,1
309,31822665,Centrum sociálnych služieb - LIPOVEC,,,193,Horné Srnie,SK0229506036,Trenčín,Trenčiansky,48.983333,18.1,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
310,31824064,Zariadenie pre seniorov Šaštín-Stráže,,,194,Šaštín-Stráže,SK0215504891,Senica,Trnavský,48.640447,17.149745,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
311,31824633,Zariadenie pre seniorov a denný stacionár Kolárovo,,,195,Kolárovo,SK0231501204,Komárno,Nitriansky,47.91593,17.99042,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
312,31825796,"„HARLEKÝN"", Zariadenie sociálnych služieb Topoľčany",,,26,Topoľčany,SK0236504998,Topoľčany,Nitriansky,48.559116,18.176052,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
313,31897959,"Súkromná Spojená škola EDUCO, Námestovo",,,9,Námestovo,SK0317509868,Námestovo,Žilinský,49.409512,19.480783,obec,skola_stredna,Stredná škola,Gastro a stravovacie zariadenia,1
314,31908969,"Nemocnica s poliklinikou Brezno, n.o.",,,149,Brezno,SK0323508497,Brezno,Banskobystrický,48.805335,19.640961,obec,nemocnica,Nemocnica,Gastro a stravovacie zariadenia,1
315,32338261,Alžbeta Ladovičová Mäso-údeniny u Ladoviča,,,196,Váhovce,SK0212504114,Galanta,Trnavský,48.25,17.783333,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
316,32410182,"Peter Bernáth - mäso, údeniny",,,162,Nová Vieska,SK0234503436,Nové Zámky,Nitriansky,47.869087,18.461012,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
317,32716869,Milan Smaženka Mäso - údeniny,,,99,Myjava,SK0223504581,Myjava,Trenčiansky,48.754035,17.565022,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
318,33357285,Milan Puchoň Reštaurácia VRTULA,,,197,Dolný Hričov,SK031B517526,Žilina,Žilinský,49.233333,18.633333,obec,restauracia,Reštaurácia,Gastro a stravovacie zariadenia,1
319,33456691,Dušan Novák Mäso - Údeniny,,,198,Šurany,SK0234503592,Nové Zámky,Nitriansky,48.086106,18.186834,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
320,33488070,Karel Štoncner MASO - ÚDENINY,,,45,Bolešov,SK0222512885,Ilava,Trenčiansky,48.983333,18.15,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
321,33504181,Dušan Baša Mäso - údeniny,,,199,Šenkvice,SK0107508250,Pezinok,Bratislavský,48.299537,17.348321,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
322,33560498,Anna Kajanová - STRAVOVANIE,,,81,Partizánske,SK0225505315,Partizánske,Trenčiansky,48.627231,18.365466,obec,jedalen_zavodna,Závodná a verejná jedáleň,Gastro a stravovacie zariadenia,1
323,33657939,Tibor Vida Mäso - údeniny,,,91,Strekov,SK0234503550,Nové Zámky,Nitriansky,47.9,18.416667,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
324,33891184,Aladár Jurás - Mäso-údeniny,,,88,Šaľa,SK0235504025,Šaľa,Nitriansky,48.150995,17.876502,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
325,33956383,Monika Šubová ĽUDOVÁ JEDÁLEŇ,,,200,Čechynce,SK0233555886,Nitra,Nitriansky,48.25,18.166667,obec,jedalen_zavodna,Závodná a verejná jedáleň,Gastro a stravovacie zariadenia,1
326,34000992,Domov sociálnych služieb pre dospelých a zariadenie pre seniorov SENICA,,,25,Senica,SK0215504203,Senica,Trnavský,48.679121,17.364383,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
327,34011641,Centrum sociálnych služieb - Nová Bošáca,,,201,Nová Bošáca,SK0224506303,Nové Mesto nad Váhom,Trenčiansky,48.747801,17.813354,okres,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
328,34056505,Centrum sociálnych služieb-Juh,,,27,Trenčín,SK0229505820,Trenčín,Trenčiansky,48.892358,18.039372,obec,socialne_zariadenie,Zariadenie sociálnych služieb,Gastro a stravovacie zariadenia,1
329,34097694,"AGROSTYRO, s.r.o.",Priemyselná č. 9,95301,6,Zlaté Moravce,SK0237500968,Zlaté Moravce,Nitriansky,48.383333,18.4,obec,agro,Poľnohospodársky podnik,Poľnohospodárstvo a chov,1
330,34098887,"AGROKLAS, s.r.o.",Hlavná II. 652,95175,202,Beladice,SK0237500062,Zlaté Moravce,Nitriansky,48.346006,18.296077,obec,agro,Poľnohospodársky podnik,Poľnohospodárstvo a chov,1
331,34100644,"KOMPLEX-odpadová spoločnosť, s.r.o.",NA 131,92554,203,Pusté Sady,SK0212503967,Galanta,Trnavský,48.311844,17.827826,obec,odpadove_hospodarstvo,Odpadové hospodárstvo,Komunálny a gastro bioodpad,1
332,34103198,AGROTRIA s.r.o.,NA 476,91324,204,Svinná,SK0229506532,Trenčín,Trenčiansky,48.785155,18.161449,obec,agro,Poľnohospodársky podnik,Poľnohospodárstvo a chov,1
333,34103651,"Výskumný ústav zeleninársky, s.r.o.",Sesíleš 2195,94701,79,Hurbanovo,SK0231501140,Komárno,Nitriansky,47.869084,18.189095,obec,zeleninarstvo,Zeleninárstvo,Poľnohospodárstvo a chov,1
334,34124411,"Vinohradnícko vinárske družstvo podielníkov KARPATY, družstvo",Limbašská 2,90203,184,Pezinok,SK0107508179,Pezinok,Bratislavský,48.285586,17.27028,obec,vinarstvo,Vinárstvo,Potravinárstvo a nápoje,1
335,34133861,"Kopaničiarska odpadová spoločnosť, s.r.o. (K.O.S., s.r.o.)",NA 390,91613,205,Kostolné,SK0223506141,Myjava,Trenčiansky,48.736145,17.703515,obec,odpadove_hospodarstvo,Odpadové hospodárstvo,Komunálny a gastro bioodpad,1
336,34135278,"Myjavská pekáreň, s.r.o.",Moravská 3,90701,99,Myjava,SK0223504581,Myjava,Trenčiansky,48.754035,17.565022,obec,pekaren,Pekáreň,Potravinárstvo a nápoje,1
337,34137653,"AGROFARMA Rozina, s.r.o.",Moyzesova 14/1528,93405,103,Levice,SK0232502031,Levice,Nitriansky,48.216667,18.6,obec,farma,Živočíšna farma,Poľnohospodárstvo a chov,1
338,34139141,"Masárstvo u Lašáku, s. r. o.",,,100,Skalica,SK0216504815,Skalica,Trnavský,48.770797,17.20201,okres,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
339,34141995,"Mestské lesy, s.r.o. Brezová pod Bradlom",Cesta SNP 245/2,90613,49,Brezová pod Bradlom,SK0223504262,Myjava,Trenčiansky,48.661644,17.53703,obec,mestske_lesy,Mestské lesy,"Drevo, lesníctvo a ostatné",1
340,34143076,Sladovne a.s.,Sladovnícka 15,91700,28,Trnava,SK0217506745,Trnava,Trnavský,48.37729,17.586718,obec,sladovna,Sladovňa,Potravinárstvo a nápoje,1
341,34144587,"Skládka tuhého komunálneho odpadu N-14, a.s.",NA 767,92585,206,Neded,SK0235503932,Šaľa,Nitriansky,48.01844,17.974057,obec,odpadove_hospodarstvo,Odpadové hospodárstvo,Komunálny a gastro bioodpad,1
342,34147781,"ZEA - AGRO, s.r.o.",Poštová 251/15,93701,7,Želiezovce,SK0232502987,Levice,Nitriansky,48.049226,18.658355,obec,agro,Poľnohospodársky podnik,Poľnohospodárstvo a chov,1
343,34150056,"COOP Jednota Levice, spotrebné družstvo",,,103,Levice,SK0232502031,Levice,Nitriansky,48.216667,18.6,obec,retail_druzstvo,Spotrebné družstvo (predajne),Retail a distribúcia potravín,1
344,34152521,"BALSYR, s.r.o.",NA 42,91909,207,Šelpice,SK0217556670,Trnava,Trnavský,48.43796,17.531812,obec,syraren,Syráreň a bryndziareň,Potravinárstvo a nápoje,1
345,34312056,Daniela Polomčáková - JEDÁLEŇ PALMA,,,208,Stará Ľubovňa,SK041A526665,Stará Ľubovňa,Prešovský,49.297258,20.687317,obec,jedalen_zavodna,Závodná a verejná jedáleň,Gastro a stravovacie zariadenia,1
346,34510885,Ľudmila Pribulová - Modrá jedáleň,,,14,Prešov,SK0417524140,Prešov,Prešovský,49.000411,21.252273,obec,jedalen_zavodna,Závodná a verejná jedáleň,Gastro a stravovacie zariadenia,1
347,34706674,Daniel Šagát - Jedáleň SOU-Elektrotechnické,,,209,Banská Bystrica,SK0321508438,Banská Bystrica,Banskobystrický,48.738539,19.156869,obec,jedalen_zavodna,Závodná a verejná jedáleň,Gastro a stravovacie zariadenia,1
348,34962018,Karol Schroner - Mäso - údeniny,,,198,Šurany,SK0234503592,Nové Zámky,Nitriansky,48.086106,18.186834,obec,masovyroba,Mäsospracovanie,Potravinárstvo a nápoje,1
349,35390492,Miroslava Jeneiová - Reštaurácia Mirka,,,119,Martin,SK0316512036,Martin,Žilinský,49.07226,18.929174,obec,restauracia,Reštaurácia,Gastro a stravovacie zariadenia,1
350,35540915,"Špeciálna základná škola, Hviezdoslavova 164, Hrabušice",,,210,Hrabušice,SK042A526592,Spišská Nová Ves,Košický,48.977432,20.410809,obec,skola_zakladna,Základná škola,Gastro a stravovacie zariadenia,1
